iter	Passed	Remaining
663	2985	1510
664	2989	1505
665	2993	1501
666	2996	1496
667	3000	1491
668	3004	1486
669	3008	1481
670	3012	1477
671	3016	1472
672	3020	1467
673	3024	1462
674	3028	1458
675	3032	1453
676	3036	1448
677	3040	1443
678	3044	1439
679	3048	1434
680	3052	1429
681	3056	1425
682	3060	1420
683	3065	1416
684	3069	1411
685	3072	1406
686	3076	1401
687	3081	1397
688	3085	1392
689	3089	1387
690	3092	1383
691	3097	1378
692	3101	1373
693	3105	1369
694	3109	1364
695	3113	1360
696	3117	1355
697	3121	1350
698	3126	1346
699	3130	1341
700	3134	1336
701	3138	1332
702	3143	1327
703	3148	1323
704	3153	1319
705	3158	1315
706	3163	1311
707	3169	1307
708	3174	1302
709	3179	1298
710	3184	1294
711	3188	1289
712	3193	1285
713	3197	1280
714	3201	1276
715	3206	1271
716	3210	1267
717	3214	1262
718	3218	1257
719	3222	1253
720	3227	1248
721	3231	1244
722	3235	1239
723	3240	1235
724	3244	1230
725	3248	1225
726	3252	1221
727	3256	1216
728	3260	1212
729	3265	1207
730	3269	1203
731	3274	1198
732	3278	1194
733	3281	1189
734	3286	1184
735	3290	1180
736	3294	1175
737	3298	1171
738	3303	1166
739	3307	1162
740	3311	1157
741	3315	1152
742	3319	1148
743	3323	1143
744	3327	1138
745	3331	1134
746	3336	1129
747	3340	1125
748	3343	1120
749	3347	1115
750	3352	1111
751	3356	1106
752	3360	1102
753	3364	1097
754	3369	1093
755	3373	1088
756	3376	1083
757	3380	1079
758	3385	1074
759	3389	1070
760	3393	1065
761	3397	1061
762	3401	1056
763	3405	1051
764	3409	1047
765	3413	1042
766	3417	1038
767	3421	1033
768	3425	1028
769	3429	1024
770	3433	1019
771	3437	1015
772	3441	1010
773	3446	1006
774	3450	1001
775	3454	997
776	3458	992
777	3462	988
778	3466	983
779	3470	978
780	3475	974
781	3479	970
782	3483	965
783	3487	960
784	3491	956
785	3495	951
786	3499	947
787	3503	942
788	3506	937
789	3511	933
790	3515	928
791	3519	924
792	3523	919
793	3527	915
794	3531	910
795	3535	906
796	3539	901
797	3543	897
798	3547	892
799	3551	887
800	3555	883
801	3559	878
802	3563	874
803	3567	869
804	3571	865
805	3576	860
806	3580	856
807	3584	851
808	3590	847
809	3594	843
810	3599	838
811	3605	834
812	3610	830
813	3615	826
814	3620	821
815	3624	817
816	3629	812
817	3633	808
818	3638	804
819	3642	799
820	3646	794
821	3650	790
822	3654	785
823	3658	781
824	3662	776
825	3666	772
826	3670	767
827	3674	763
828	3678	758
829	3682	754
830	3686	749
831	3690	745
832	3694	740
833	3698	736
834	3702	731
835	3706	727
836	3710	722
837	3714	718
838	3718	713
839	3722	709
840	3726	704
841	3730	699
842	3734	695
843	3737	690
844	3741	686
845	3745	681
846	3750	677
847	3754	672
848	3758	668
849	3762	664
850	3766	659
851	3770	655
852	3774	650
853	3779	646
854	3783	641
855	3787	637
856	3791	632
857	3796	628
858	3800	623
859	3804	619
860	3808	614
861	3813	610
862	3816	605
863	3820	601
